ticker,sentiment,headline_count,date
ADBE,-0.06613,10,2026-04-30
AMD,-0.0275499999999999,10,2026-04-30
ABNB,0.13361,10,2026-04-30
ALNY,0.16319,10,2026-04-30
GOOGL,0.07088,10,2026-04-30
GOOG,0.0615499999999999,10,2026-04-30
AMZN,0.24225,10,2026-04-30
AEP,0.34274,10,2026-04-30
AMGN,-0.0084999999999999,10,2026-04-30
ADI,0.29085,10,2026-04-30
AAPL,0.20117,10,2026-04-30
AMAT,0.12573,10,2026-04-30
APP,0.12437,10,2026-04-30
ARM,-0.07857,10,2026-04-30
ASML,-0.05411,10,2026-04-30
ADSK,0.19649,10,2026-04-30
ADP,0.2519099999999999,10,2026-04-30
AXON,0.0005599999999999,10,2026-04-30
BKR,0.22599,10,2026-04-30
BKNG,0.0232899999999999,10,2026-04-30
AVGO,-0.01256,10,2026-04-30
CDNS,0.05803,10,2026-04-30
CHTR,-0.13514,10,2026-04-30
CTAS,0.2432099999999999,10,2026-04-30
CSCO,0.1218699999999999,10,2026-04-30
CCEP,0.19592,10,2026-04-30
CTSH,0.0170499999999999,10,2026-04-30
CMCSA,0.18906,10,2026-04-30
CEG,0.32006,10,2026-04-30
CPRT,0.1650999999999999,10,2026-04-30
CSGP,-0.0275799999999999,10,2026-04-30
COST,-0.05904,10,2026-04-30
CRWD,0.1955899999999999,10,2026-04-30
CSX,0.12928,10,2026-04-30
DDOG,0.12625,10,2026-04-30
DXCM,0.23993,10,2026-04-30
FANG,0.4208200000000001,10,2026-04-30
DASH,-0.0400799999999999,10,2026-04-30
EA,0.12644,10,2026-04-30
EXC,0.30443,10,2026-04-30
FAST,0.07169,10,2026-04-30
FER,0.269,10,2026-04-30
FTNT,0.08793,10,2026-04-30
GEHC,-0.11009,10,2026-04-30
GILD,0.18509,10,2026-04-30
HON,0.07596,10,2026-04-30
IDXX,0.0464,10,2026-04-30
INSM,-0.00641,10,2026-04-30
INTC,0.21894,10,2026-04-30
INTU,0.16596,10,2026-04-30
ISRG,0.15719,10,2026-04-30
KDP,0.4845400000000001,10,2026-04-30
KLAC,0.14573,10,2026-04-30
KHC,-0.09194,10,2026-04-30
LRCX,0.0805399999999999,10,2026-04-30
LIN,0.19777,10,2026-04-30
MAR,0.15642,10,2026-04-30
MRVL,-0.11178,10,2026-04-30
MELI,0.00184,10,2026-04-30
META,0.1320799999999999,10,2026-04-30
MCHP,0.2767799999999999,10,2026-04-30
MU,-0.04665,10,2026-04-30
MSFT,0.1069599999999999,10,2026-04-30
MSTR,0.0193299999999999,10,2026-04-30
MDLZ,0.23309,10,2026-04-30
MPWR,0.18066,10,2026-04-30
MNST,0.14418,10,2026-04-30
NFLX,0.09018,10,2026-04-30
NVDA,0.0251799999999999,10,2026-04-30
NXPI,0.2012999999999999,10,2026-04-30
ORLY,0.23735,10,2026-04-30
ODFL,0.1485399999999999,10,2026-04-30
PCAR,0.16081,10,2026-04-30
PLTR,0.0928599999999999,10,2026-04-30
PANW,0.21066,10,2026-04-30
PAYX,0.15879,10,2026-04-30
PYPL,0.08693,10,2026-04-30
PDD,0.21713,10,2026-04-30
PEP,-0.06414,10,2026-04-30
QCOM,-0.03093,10,2026-04-30
REGN,-0.06561,10,2026-04-30
ROP,0.1590799999999999,10,2026-04-30
ROST,0.24737,10,2026-04-30
SNDK,0.1219799999999999,10,2026-04-30
